title,year,genre,director,cast,countries,rating,languages
The Evil Dead,1981,['Horror'],[<Person id:0000600[http] name:_Sam Raimi_>],"[<Person id:0132257[http] name:_Bruce Campbell_>, <Person id:0762445[http] name:_Ellen Sandweiss_>, <Person id:0217822[http] name:_Richard DeManincor_>, <Person id:0048260[http] name:_Betsy Baker_>, <Person id:0863462[http] name:_Theresa Tilly_>, <Person id:0319310[http] name:_Philip A. Gillis_>, <Person id:0849962[http] name:_Dorothy Tapert_>, <Person id:0349762[http] name:_Cheryl Guttridge_>, <Person id:0136908[http] name:_Barbara Carey_>, <Person id:1177888[http] name:_David Horton_>]",['United States'],7.5,['English']
Evil Dead II,1987,"['Action', 'Comedy', 'Fantasy']",[<Person id:0000600[http] name:_Sam Raimi_>],"[<Person id:0132257[http] name:_Bruce Campbell_>, <Person id:0077670[http] name:_Sarah Berry_>, <Person id:0382830[http] name:_Dan Hicks_>, <Person id:0219990[http] name:_Kassie Wesley DePaiva_>, <Person id:0001646[http] name:_Ted Raimi_>, <Person id:0084659[http] name:_Denise Bixler_>, <Person id:0231353[http] name:_Richard Domeier_>, <Person id:0668858[http] name:_John Peakes_>, <Person id:0359393[http] name:_Lou Hancock_>, <Person id:0936004[http] name:_Snowy Winters_>]",['United States'],7.8,"['English', 'Latin']"
Army of Darkness,1992,"['Comedy', 'Fantasy', 'Horror']",[<Person id:0000600[http] name:_Sam Raimi_>],"[<Person id:0132257[http] name:_Bruce Campbell_>, <Person id:0001110[http] name:_Embeth Davidtz_>, <Person id:0317956[http] name:_Marcus Gilbert_>, <Person id:0000718[http] name:_Ian Abercrombie_>, <Person id:0343988[http] name:_Richard Grove_>, <Person id:0703595[http] name:_Timothy Patrick Quill_>, <Person id:0717369[http] name:_Michael Earl Reid_>, <Person id:0000403[http] name:_Bridget Fonda_>, <Person id:0848191[http] name:_Patricia Tallman_>, <Person id:0001646[http] name:_Ted Raimi_>]",['United States'],7.5,['English']
Evil Dead,2013,"['Action', 'Adventure', 'Fantasy']",[<Person id:1793079[http] name:_Fede Alvarez_>],"[<Person id:3994408[http] name:_Jane Levy_>, <Person id:2057036[http] name:_Shiloh Fernandez_>, <Person id:1086384[http] name:_Lou Taylor Pucci_>, <Person id:1140300[http] name:_Jessica Lucas_>, <Person id:3899933[http] name:_Elizabeth Blackmore_>, <Person id:3648970[http] name:_Phoenix Connolly_>, <Person id:0572256[http] name:_Jim McLarty_>, <Person id:1685875[http] name:_Sian Davis_>, <Person id:0125354[http] name:_Stephen Butterworth_>, <Person id:1526335[http] name:_Karl Willetts_>]",['United States'],6.5,"['English', 'Welsh']"
Free Fire,2016,"['Action', 'Comedy', 'Crime']",[<Person id:1296554[http] name:_Ben Wheatley_>],"[<Person id:0162281[http] name:_Enzo Cilenti_>, <Person id:0727165[http] name:_Sam Riley_>, <Person id:0806968[http] name:_Michael Smiley_>, <Person id:0488953[http] name:_Brie Larson_>, <Person id:0614165[http] name:_Cillian Murphy_>, <Person id:2309517[http] name:_Armie Hammer_>, <Person id:1663205[http] name:_Sharlto Copley_>, <Person id:1959501[http] name:_Babou Ceesay_>, <Person id:0852965[http] name:_Noah Taylor_>, <Person id:2930503[http] name:_Jack Reynor_>]",['United Kingdom'],6.4,['English']
Feels Good Man,2020,"['Documentary', 'Comedy']",[<Person id:9335192[http] name:_Arthur Jones_>],"[<Person id:5182708[http] name:_Robert Barnes_>, <Person id:1200650[http] name:_Samantha Bee_>, <Person id:11449298[http] name:_Jeremy Blackburn_>, <Person id:1830341[http] name:_Susan Blackmore_>, <Person id:11878399[http] name:_Matt Braynard_>, <Person id:0166921[http] name:_Hillary Clinton_>, <Person id:0170306[http] name:_Stephen Colbert_>, <Person id:11520121[http] name:_Joel Finkelstein_>, <Person id:4232388[http] name:_Matt Furie_>, <Person id:11901768[http] name:_Ursala Furie_>]",['United States'],7.6,N/A
The Terminal,2004,"['Comedy', 'Drama', 'Romance']",[<Person id:0000229[http] name:_Steven Spielberg_>],"[<Person id:0000158[http] name:_Tom Hanks_>, <Person id:0001876[http] name:_Catherine Zeta-Jones_>, <Person id:0001804[http] name:_Stanley Tucci_>, <Person id:0564277[http] name:_Chi McBride_>, <Person id:0526019[http] name:_Diego Luna_>, <Person id:0377106[http] name:_Barry Shabaka Henley_>, <Person id:0657785[http] name:_Kumar Pallana_>, <Person id:0757855[http] name:_Zoe Saldana_>, <Person id:0428008[http] name:_Eddie Jones_>, <Person id:0161980[http] name:_Jude Ciccolella_>]",['United States'],7.4,"['English', 'Bulgarian', 'Spanish']"
Road to Perdition,2002,"['Crime', 'Drama', 'Thriller']",[<Person id:0005222[http] name:_Sam Mendes_>],"[<Person id:0388382[http] name:_Tyler Hoechlin_>, <Person id:1005576[http] name:_Rob Maxey_>, <Person id:0014582[http] name:_Liam Aiken_>, <Person id:0000492[http] name:_Jennifer Jason Leigh_>, <Person id:0000158[http] name:_Tom Hanks_>, <Person id:0000056[http] name:_Paul Newman_>, <Person id:0185819[http] name:_Daniel Craig_>, <Person id:0001354[http] name:_Ciarán Hinds_>, <Person id:1177237[http] name:_Craig Spidle_>, <Person id:0054513[http] name:_Ian Barford_>]",['United States'],7.7,['English']
2001: A Space Odyssey,1968,"['Adventure', 'Sci-Fi']",[<Person id:0000040[http] name:_Stanley Kubrick_>],"[<Person id:0001158[http] name:_Keir Dullea_>, <Person id:0516972[http] name:_Gary Lockwood_>, <Person id:0843213[http] name:_William Sylvester_>, <Person id:0725220[http] name:_Daniel Richter_>, <Person id:0744436[http] name:_Leonard Rossiter_>, <Person id:0879239[http] name:_Margaret Tyzack_>, <Person id:0064235[http] name:_Robert Beatty_>, <Person id:0838330[http] name:_Sean Sullivan_>, <Person id:0706937[http] name:_Douglas Rain_>, <Person id:0588339[http] name:_Frank Miller_>]","['United Kingdom', 'United States']",8.3,"['English', 'Russian']"
12 Angry Men,1957,"['Crime', 'Drama']",[<Person id:0001486[http] name:_Sidney Lumet_>],"[<Person id:0000842[http] name:_Martin Balsam_>, <Person id:0275835[http] name:_John Fiedler_>, <Person id:0002011[http] name:_Lee J. Cobb_>, <Person id:0550855[http] name:_E.G. Marshall_>, <Person id:0001430[http] name:_Jack Klugman_>, <Person id:0083081[http] name:_Edward Binns_>, <Person id:0912001[http] name:_Jack Warden_>, <Person id:0000020[http] name:_Henry Fonda_>, <Person id:0842137[http] name:_Joseph Sweeney_>, <Person id:0003225[http] name:_Ed Begley_>]",['United States'],9.0,['English']
Phone Booth,2002,"['Crime', 'Thriller']",[<Person id:0001708[http] name:_Joel Schumacher_>],"[<Person id:0268199[http] name:_Colin Farrell_>, <Person id:0000662[http] name:_Kiefer Sutherland_>, <Person id:0001845[http] name:_Forest Whitaker_>, <Person id:0593664[http] name:_Radha Mitchell_>, <Person id:0005017[http] name:_Katie Holmes_>, <Person id:0005294[http] name:_Paula Jai Parker_>, <Person id:0038614[http] name:_Arian Ash_>, <Person id:0004137[http] name:_Tia Texada_>, <Person id:0004897[http] name:_John Enos III_>, <Person id:0429114[http] name:_Richard T. Jones_>]",['United States'],7.0,"['English', 'Swahili']"
Honey Boy,2019,['Drama'],[<Person id:2776774[http] name:_Alma Har'el_>],"[<Person id:0479471[http] name:_Shia LaBeouf_>, <Person id:2348627[http] name:_Lucas Hedges_>, <Person id:7415871[http] name:_Noah Jupe_>, <Person id:2720892[http] name:_Byron Bowers_>, <Person id:0000624[http] name:_Laura San Giacomo_>, <Person id:4766226[http] name:_FKA Twigs_>, <Person id:0005169[http] name:_Natasha Lyonne_>, <Person id:2140860[http] name:_Maika Monroe_>, <Person id:0004286[http] name:_Clifton Collins Jr._>, <Person id:7896098[http] name:_Mario Ponce_>]",['United States'],7.3,"['English', 'Spanish']"
High Fidelity,2000,"['Comedy', 'Drama', 'Music']",[<Person id:0001241[http] name:_Stephen Frears_>],"[<Person id:0000131[http] name:_John Cusack_>, <Person id:0005013[http] name:_Iben Hjejle_>, <Person id:0521974[http] name:_Todd Louiso_>, <Person id:0085312[http] name:_Jack Black_>, <Person id:0000956[http] name:_Lisa Bonet_>, <Person id:0001876[http] name:_Catherine Zeta-Jones_>, <Person id:0000349[http] name:_Joan Cusack_>, <Person id:0000209[http] name:_Tim Robbins_>, <Person id:0716854[http] name:_Chris Rehmann_>, <Person id:0139604[http] name:_Ben Carr_>]","['United Kingdom', 'United States']",7.5,"['English', 'Danish']"
Spaceballs,1987,"['Adventure', 'Comedy', 'Sci-Fi']",[<Person id:0000316[http] name:_Mel Brooks_>],"[<Person id:0000316[http] name:_Mel Brooks_>, <Person id:0001006[http] name:_John Candy_>, <Person id:0001548[http] name:_Rick Moranis_>, <Person id:0000597[http] name:_Bill Pullman_>, <Person id:0001879[http] name:_Daphne Zuniga_>, <Person id:0887694[http] name:_Dick Van Patten_>, <Person id:0943927[http] name:_George Wyner_>, <Person id:0935498[http] name:_Michael Winslow_>, <Person id:0001672[http] name:_Joan Rivers_>, <Person id:0946489[http] name:_Lorene Yarnell Jansson_>]",['United States'],7.1,['English']
You've Got Mail,1998,"['Comedy', 'Drama', 'Romance']",[<Person id:0001188[http] name:_Nora Ephron_>],"[<Person id:0000158[http] name:_Tom Hanks_>, <Person id:0000212[http] name:_Meg Ryan_>, <Person id:0001427[http] name:_Greg Kinnear_>, <Person id:0000205[http] name:_Parker Posey_>, <Person id:0822958[http] name:_Jean Stapleton_>, <Person id:0001872[http] name:_Steve Zahn_>, <Person id:0122688[http] name:_Heather Burns_>, <Person id:0152638[http] name:_Dave Chappelle_>, <Person id:0001056[http] name:_Dabney Coleman_>, <Person id:0709907[http] name:_John Randolph_>]",['United States'],6.7,['English']
Ex Machina,2014,"['Drama', 'Sci-Fi', 'Thriller']",[<Person id:0307497[http] name:_Alex Garland_>],"[<Person id:1727304[http] name:_Domhnall Gleeson_>, <Person id:2539953[http] name:_Alicia Vikander_>, <Person id:1209966[http] name:_Oscar Isaac_>, <Person id:4420495[http] name:_Sonoya Mizuno_>, <Person id:0424819[http] name:_Corey Johnson_>, <Person id:7048733[http] name:_Claire Selby_>, <Person id:5883179[http] name:_Symara A. Templeman_>, <Person id:7232418[http] name:_Gana Bayarsaikhan_>, <Person id:4031531[http] name:_Tiffany Pisani_>, <Person id:6045387[http] name:_Elina Alminas_>]",['United Kingdom'],7.7,['English']
Requiem for a Dream,2000,['Drama'],[<Person id:0004716[http] name:_Darren Aronofsky_>],"[<Person id:0000995[http] name:_Ellen Burstyn_>, <Person id:0001467[http] name:_Jared Leto_>, <Person id:0000124[http] name:_Jennifer Connelly_>, <Person id:0005541[http] name:_Marlon Wayans_>, <Person id:0001520[http] name:_Christopher McDonald_>, <Person id:0489837[http] name:_Louise Lasser_>, <Person id:0476040[http] name:_Marcia Jean Kurtz_>, <Person id:0765423[http] name:_Janet Sarno_>, <Person id:0791877[http] name:_Suzanne Shepherd_>, <Person id:2999980[http] name:_Joanne Gordon_>]",['United States'],8.3,['English']
Almost Famous,2000,"['Adventure', 'Comedy', 'Drama']",[<Person id:0001081[http] name:_Cameron Crowe_>],"[<Person id:0001082[http] name:_Billy Crudup_>, <Person id:0000531[http] name:_Frances McDormand_>, <Person id:0005028[http] name:_Kate Hudson_>, <Person id:0005134[http] name:_Jason Lee_>, <Person id:0297578[http] name:_Patrick Fugit_>, <Person id:0221046[http] name:_Zooey Deschanel_>, <Person id:0029400[http] name:_Michael Angarano_>, <Person id:0001593[http] name:_Anna Paquin_>, <Person id:0000103[http] name:_Fairuza Balk_>, <Person id:0852965[http] name:_Noah Taylor_>]",['United States'],7.9,"['English', 'French']"
"Lock, Stock and Two Smoking Barrels",1998,"['Action', 'Comedy', 'Crime']",[<Person id:0005363[http] name:_Guy Ritchie_>],"[<Person id:0002076[http] name:_Jason Flemyng_>, <Person id:0002077[http] name:_Dexter Fletcher_>, <Person id:0602941[http] name:_Nick Moran_>, <Person id:0005458[http] name:_Jason Statham_>, <Person id:0533599[http] name:_Steven Mackintosh_>, <Person id:0746583[http] name:_Nicholas Rowe_>, <Person id:0546017[http] name:_Nick Marcq_>, <Person id:0285305[http] name:_Charles Forbes_>, <Person id:0005068[http] name:_Vinnie Jones_>, <Person id:0572597[http] name:_Lenny McLean_>]",['United Kingdom'],8.2,['English']
A Nightmare on Elm Street 3: Dream Warriors,1987,"['Fantasy', 'Horror']",[<Person id:0751080[http] name:_Chuck Russell_>],"[<Person id:0000486[http] name:_Heather Langenkamp_>, <Person id:0913738[http] name:_Craig Wasson_>, <Person id:0000099[http] name:_Patricia Arquette_>, <Person id:0000387[http] name:_Robert Englund_>, <Person id:0756209[http] name:_Ken Sagoes_>, <Person id:0247672[http] name:_Rodney Eastman_>, <Person id:0748075[http] name:_Jennifer Rubin_>, <Person id:0339562[http] name:_Bradley Gregg_>, <Person id:0373934[http] name:_Ira Heiden_>, <Person id:0000401[http] name:_Laurence Fishburne_>]",['United States'],6.6,['English']
Leon the Professional,1994,"['Action', 'Crime', 'Drama']",[<Person id:0000108[http] name:_Luc Besson_>],"[<Person id:0000606[http] name:_Jean Reno_>, <Person id:0000198[http] name:_Gary Oldman_>, <Person id:0000204[http] name:_Natalie Portman_>, <Person id:0000732[http] name:_Danny Aiello_>, <Person id:0032216[http] name:_Peter Appel_>, <Person id:0089112[http] name:_Willi One Blood_>, <Person id:0187199[http] name:_Don Creech_>, <Person id:0321798[http] name:_Keith A. Glascoe_>, <Person id:0779685[http] name:_Randolph Scott_>, <Person id:0045937[http] name:_Michael Badalucco_>]","['France', 'United States']",8.5,"['English', 'Italian', 'French']"
Hunt for the Wilderpeople,2016,"['Adventure', 'Comedy', 'Drama']",[<Person id:0169806[http] name:_Taika Waititi_>],"[<Person id:0000554[http] name:_Sam Neill_>, <Person id:5421877[http] name:_Julian Dennison_>, <Person id:0853498[http] name:_Rima Te Wiata_>, <Person id:1344302[http] name:_Rachel House_>, <Person id:8051777[http] name:_Tioreore Ngatai-Melbourne_>, <Person id:0452714[http] name:_Oscar Kightley_>, <Person id:3574793[http] name:_Stan Walker_>, <Person id:2333404[http] name:_Mike Minogue_>, <Person id:1959207[http] name:_Cohen Holloway_>, <Person id:1055302[http] name:_Rhys Darby_>]",['New Zealand'],7.9,['English']
Moonrise Kingdom,2012,"['Comedy', 'Drama', 'Romance']",[<Person id:0027572[http] name:_Wes Anderson_>],"[<Person id:0000246[http] name:_Bruce Willis_>, <Person id:0001570[http] name:_Edward Norton_>, <Person id:0000195[http] name:_Bill Murray_>, <Person id:0000531[http] name:_Frances McDormand_>, <Person id:0842770[http] name:_Tilda Swinton_>, <Person id:4442068[http] name:_Jared Gilman_>, <Person id:4442319[http] name:_Kara Hayward_>, <Person id:0005403[http] name:_Jason Schwartzman_>, <Person id:0000837[http] name:_Bob Balaban_>, <Person id:2348627[http] name:_Lucas Hedges_>]",['United States'],7.8,['English']
The Royal Tenenbaums,2001,"['Comedy', 'Drama']",[<Person id:0027572[http] name:_Wes Anderson_>],"[<Person id:0000432[http] name:_Gene Hackman_>, <Person id:0001378[http] name:_Anjelica Huston_>, <Person id:0001774[http] name:_Ben Stiller_>, <Person id:0000569[http] name:_Gwyneth Paltrow_>, <Person id:0005561[http] name:_Luke Wilson_>, <Person id:0005562[http] name:_Owen Wilson_>, <Person id:0000195[http] name:_Bill Murray_>, <Person id:0000418[http] name:_Danny Glover_>, <Person id:0001025[http] name:_Seymour Cassel_>, <Person id:0657785[http] name:_Kumar Pallana_>]",['United States'],7.6,"['English', 'Italian']"
Wall-E,2008,"['Animation', 'Adventure', 'Family']",[<Person id:0004056[http] name:_Andrew Stanton_>],"[<Person id:0123785[http] name:_Ben Burtt_>, <Person id:2264184[http] name:_Elissa Knight_>, <Person id:0307531[http] name:_Jeff Garlin_>, <Person id:0929609[http] name:_Fred Willard_>, <Person id:3050831[http] name:_MacInTalk_>, <Person id:0001652[http] name:_John Ratzenberger_>, <Person id:0001562[http] name:_Kathy Najimy_>, <Person id:0000244[http] name:_Sigourney Weaver_>, <Person id:0628599[http] name:_Teddy Newton_>, <Person id:0074036[http] name:_Bob Bergen_>]",['United States'],8.4,['English']
"Three Billboards Outside Ebbing, Missouri",2017,"['Comedy', 'Crime', 'Drama']",[<Person id:1732981[http] name:_Martin McDonagh_>],"[<Person id:0000531[http] name:_Frances McDormand_>, <Person id:2655177[http] name:_Caleb Landry Jones_>, <Person id:0174403[http] name:_Kerry Condon_>, <Person id:0005377[http] name:_Sam Rockwell_>, <Person id:6019128[http] name:_Alejandro Barrios_>, <Person id:4654982[http] name:_Jason Ledford_>, <Person id:2888524[http] name:_Darrell Britt-Gibson_>, <Person id:0000437[http] name:_Woody Harrelson_>, <Person id:0180411[http] name:_Abbie Cornish_>, <Person id:9362777[http] name:_Riya May Atwood_>]","['United Kingdom', 'United States']",8.2,['English']
True Romance,1993,"['Crime', 'Drama', 'Romance']",[<Person id:0001716[http] name:_Tony Scott_>],"[<Person id:0000225[http] name:_Christian Slater_>, <Person id:0000099[http] name:_Patricia Arquette_>, <Person id:0000454[http] name:_Dennis Hopper_>, <Person id:0000174[http] name:_Val Kilmer_>, <Person id:0000198[http] name:_Gary Oldman_>, <Person id:0000093[http] name:_Brad Pitt_>, <Person id:0000686[http] name:_Christopher Walken_>, <Person id:0001621[http] name:_Bronson Pinchot_>, <Person id:0000168[http] name:_Samuel L. Jackson_>, <Person id:0001650[http] name:_Michael Rapaport_>]","['United States', 'France']",7.9,"['English', 'Italian']"
Casino,1995,"['Crime', 'Drama']",[<Person id:0000217[http] name:_Martin Scorsese_>],"[<Person id:0000134[http] name:_Robert De Niro_>, <Person id:0000232[http] name:_Sharon Stone_>, <Person id:0000582[http] name:_Joe Pesci_>, <Person id:0000249[http] name:_James Woods_>, <Person id:0725543[http] name:_Don Rickles_>, <Person id:0454418[http] name:_Alan King_>, <Person id:0001629[http] name:_Kevin Pollak_>, <Person id:0428618[http] name:_L.Q. Jones_>, <Person id:0810686[http] name:_Dick Smothers_>, <Person id:0898634[http] name:_Frank Vincent_>]","['United States', 'France']",8.2,['English']
Taxi Driver,1976,"['Crime', 'Drama']",[<Person id:0000217[http] name:_Martin Scorsese_>],"[<Person id:0007958[http] name:_Diahnne Abbott_>, <Person id:0012524[http] name:_Frank Adu_>, <Person id:0034519[http] name:_Victor Argo_>, <Person id:0034082[http] name:_Gino Ardito_>, <Person id:0043039[http] name:_Garth Avery_>, <Person id:0001967[http] name:_Peter Boyle_>, <Person id:0000983[http] name:_Albert Brooks_>, <Person id:0169903[http] name:_Harry Cohn_>, <Person id:0192276[http] name:_Copper Cunningham_>, <Person id:0000134[http] name:_Robert De Niro_>]",['United States'],8.3,"['English', 'Spanish']"
One Flew Over the Cuckoo's Nest,1975,['Drama'],[<Person id:0001232[http] name:_Milos Forman_>],"[<Person id:0077720[http] name:_Michael Berryman_>, <Person id:0110480[http] name:_Peter Brocco_>, <Person id:0111954[http] name:_Dean R. Brooks_>, <Person id:0113000[http] name:_Alonzo Brown_>, <Person id:0001079[http] name:_Scatman Crothers_>, <Person id:0191784[http] name:_Mwako Cumbuka_>, <Person id:0000362[http] name:_Danny DeVito_>, <Person id:0240239[http] name:_William Duell_>, <Person id:0253574[http] name:_Josip Elic_>, <Person id:0271753[http] name:_Lan Fendors_>]",['United States'],8.7,['English']
Dallas Buyers Club,2013,"['Biography', 'Drama']",[<Person id:0885249[http] name:_Jean-Marc Vallée_>],"[<Person id:0000190[http] name:_Matthew McConaughey_>, <Person id:0004950[http] name:_Jennifer Garner_>, <Person id:0001467[http] name:_Jared Leto_>, <Person id:0641354[http] name:_Denis O'Hare_>, <Person id:0001872[http] name:_Steve Zahn_>, <Person id:0642259[http] name:_Michael O'Neill_>, <Person id:1316767[http] name:_Dallas Roberts_>, <Person id:0001162[http] name:_Griffin Dunne_>, <Person id:0710271[http] name:_Kevin Rankin_>, <Person id:1251245[http] name:_Donna Duplantier_>]",['United States'],8.0,"['English', 'Japanese']"
My Scientology Movie,2015,['Documentary'],[<Person id:0235770[http] name:_John Dower_>],"[<Person id:0857621[http] name:_Louis Theroux_>, <Person id:0000129[http] name:_Tom Cruise_>, <Person id:4105141[http] name:_Marty Rathbun_>, <Person id:0209289[http] name:_Paz de la Huerta_>, <Person id:1719336[http] name:_David Miscavige_>, <Person id:0465901[http] name:_Ted Koppel_>, <Person id:1812751[http] name:_Chris Gehrt_>, <Person id:3172377[http] name:_Andrew Perez_>, <Person id:3571017[http] name:_Steven Mango_>, <Person id:2598002[http] name:_Marc Headley_>]",['United Kingdom'],6.7,['English']
There Will Be Blood,2007,['Drama'],[<Person id:0000759[http] name:_Paul Thomas Anderson_>],"[<Person id:0000358[http] name:_Daniel Day-Lewis_>, <Person id:2872491[http] name:_Martin Stringer_>, <Person id:2872058[http] name:_Matthew Braden Stringer_>, <Person id:2871845[http] name:_Jacob Stringer_>, <Person id:2872133[http] name:_Joseph Mussey_>, <Person id:0215916[http] name:_Barry Del Sherman_>, <Person id:2871955[http] name:_Harrison Taylor_>, <Person id:2871847[http] name:_Stockton Taylor_>, <Person id:0006670[http] name:_Paul F. Tompkins_>, <Person id:2827673[http] name:_Dillon Freasier_>]",['United States'],8.2,"['English', 'American Sign Language']"
Fences,2016,['Drama'],[<Person id:0000243[http] name:_Denzel Washington_>],"[<Person id:0000243[http] name:_Denzel Washington_>, <Person id:0205626[http] name:_Viola Davis_>, <Person id:0376610[http] name:_Stephen McKinley Henderson_>, <Person id:5381254[http] name:_Jovan Adepo_>, <Person id:0395203[http] name:_Russell Hornsby_>, <Person id:0932112[http] name:_Mykelti Williamson_>, <Person id:5181138[http] name:_Saniyya Sidney_>, <Person id:3459382[http] name:_Christopher Mele_>, <Person id:0095516[http] name:_Lesley Boone_>, <Person id:1014162[http] name:_Jason Silvis_>]","['United States', 'Canada']",7.2,['English']
Boyhood,2014,['Drama'],[<Person id:0000500[http] name:_Richard Linklater_>],"[<Person id:1294664[http] name:_Ellar Coltrane_>, <Person id:0000099[http] name:_Patricia Arquette_>, <Person id:6567391[http] name:_Elijah Smith_>, <Person id:1085951[http] name:_Lorelei Linklater_>, <Person id:0697637[http] name:_Steven Chester Prince_>, <Person id:6567392[http] name:_Bonnie Cross_>, <Person id:6567393[http] name:_Sydney Orta_>, <Person id:0898047[http] name:_Libby Villari_>, <Person id:0000160[http] name:_Ethan Hawke_>, <Person id:0673260[http] name:_Marco Perella_>]",['United States'],7.9,"['English', 'Spanish']"
"Planes, Trains & Automobiles",1987,"['Comedy', 'Drama']",[<Person id:0000455[http] name:_John Hughes_>],"[<Person id:0000188[http] name:_Steve Martin_>, <Person id:0001006[http] name:_John Candy_>, <Person id:0732309[http] name:_Laila Robins_>, <Person id:0571106[http] name:_Michael McKean_>, <Person id:0000102[http] name:_Kevin Bacon_>, <Person id:0048414[http] name:_Dylan Baker_>, <Person id:0115433[http] name:_Carol Bruce_>, <Person id:0122466[http] name:_Olivia Burnette_>, <Person id:0235022[http] name:_Diana Douglas_>, <Person id:0274684[http] name:_Martin Ferrero_>]",['United States'],7.6,['English']
Everybody Wants Some!!,2016,['Comedy'],[<Person id:0000500[http] name:_Richard Linklater_>],"[<Person id:4296357[http] name:_Blake Jenner_>, <Person id:5319167[http] name:_Juston Street_>, <Person id:4554428[http] name:_Ryan Guzman_>, <Person id:0388382[http] name:_Tyler Hoechlin_>, <Person id:0751518[http] name:_Wyatt Russell_>, <Person id:1412974[http] name:_Glen Powell_>, <Person id:6792155[http] name:_Temple Baker_>, <Person id:7604558[http] name:_J. Quinton Johnson_>, <Person id:4311291[http] name:_Will Brittain_>, <Person id:6857017[http] name:_Courtney Tailor_>]",['United States'],6.9,['English']
Big Trouble in Little China,1986,"['Action', 'Adventure', 'Comedy']",[<Person id:0000118[http] name:_John Carpenter_>],"[<Person id:0000621[http] name:_Kurt Russell_>, <Person id:0000326[http] name:_Kim Cattrall_>, <Person id:0241748[http] name:_Dennis Dun_>, <Person id:0393222[http] name:_James Hong_>, <Person id:0939378[http] name:_Victor Wong_>, <Person id:0123632[http] name:_Kate Burton_>, <Person id:0508397[http] name:_Donald Li_>, <Person id:0938975[http] name:_Carter Wong_>, <Person id:0477286[http] name:_Peter Kwong_>, <Person id:0657070[http] name:_James Pax_>]",['United States'],7.3,"['English', 'Cantonese']"
Escape from New York,1981,"['Action', 'Adventure', 'Sci-Fi']",[<Person id:0000118[http] name:_John Carpenter_>],"[<Person id:0000621[http] name:_Kurt Russell_>, <Person id:0001812[http] name:_Lee Van Cleef_>, <Person id:0000308[http] name:_Ernest Borgnine_>, <Person id:0000587[http] name:_Donald Pleasence_>, <Person id:0005002[http] name:_Isaac Hayes_>, <Person id:0399530[http] name:_Season Hubley_>, <Person id:0001765[http] name:_Harry Dean Stanton_>, <Person id:0000105[http] name:_Adrienne Barbeau_>, <Person id:0040662[http] name:_Tom Atkins_>, <Person id:0194234[http] name:_Charles Cyphers_>]",['United States'],7.2,['English']
Pixie,2020,"['Comedy', 'Crime', 'Thriller']",[<Person id:0859877[http] name:_Barnaby Thompson_>],"[<Person id:4972453[http] name:_Olivia Cooke_>, <Person id:4897370[http] name:_Fra Fee_>, <Person id:1454097[http] name:_Rory Fleck Byrne_>, <Person id:0795169[http] name:_Pat Shortt_>, <Person id:0564525[http] name:_Frankie McCafferty_>, <Person id:3089571[http] name:_Esme Thompson_>, <Person id:7368157[http] name:_Chris Walley_>, <Person id:5228887[http] name:_Ben Hardy_>, <Person id:7580109[http] name:_Daryl McCormack_>, <Person id:0000538[http] name:_Colm Meaney_>]",['United Kingdom'],6.4,['English']
Layer Cake,2004,"['Action', 'Crime', 'Drama']",[<Person id:0891216[http] name:_Matthew Vaughn_>],"[<Person id:0185819[http] name:_Daniel Craig_>, <Person id:0362766[http] name:_Tom Hardy_>, <Person id:0286044[http] name:_Jamie Foreman_>, <Person id:1020089[http] name:_Sally Hawkins_>, <Person id:1218607[http] name:_Burn Gorman_>, <Person id:2903328[http] name:_Brinley Green_>, <Person id:0364711[http] name:_George Harris_>, <Person id:1268748[http] name:_Tamer Hassan_>, <Person id:0000538[http] name:_Colm Meaney_>, <Person id:0411903[http] name:_Marcel Iures_>]",['United Kingdom'],7.3,"['English', 'Romanian']"
Logan Lucky,2017,"['Comedy', 'Crime', 'Drama']",[<Person id:0001752[http] name:_Steven Soderbergh_>],"[<Person id:5008863[http] name:_Farrah Mackenzie_>, <Person id:1475594[http] name:_Channing Tatum_>, <Person id:0641389[http] name:_Jim O'Heir_>, <Person id:2142336[http] name:_Riley Keough_>, <Person id:0465572[http] name:_Rebecca Koon_>, <Person id:0005017[http] name:_Katie Holmes_>, <Person id:8529555[http] name:_Boden Johnston_>, <Person id:8529562[http] name:_Sutton Johnston_>, <Person id:0219292[http] name:_David Denman_>, <Person id:0355155[http] name:_Charles Halford_>]","['United States', 'China']",7.0,['English']
Paprika,1991,['Drama'],[<Person id:0000972[http] name:_Tinto Brass_>],"[<Person id:0135666[http] name:_Debora Caprioglio_>, <Person id:0274008[http] name:_Stéphane Ferrara_>, <Person id:0110496[http] name:_Martine Brochard_>, <Person id:0094986[http] name:_Stéphane Bonnet_>, <Person id:0310573[http] name:_Rossana Gavinel_>, <Person id:0727359[http] name:_Renzo Rinaldi_>, <Person id:0812818[http] name:_Nina Soldano_>, <Person id:0019342[http] name:_Clara Algranti_>, <Person id:0162707[http] name:_Luciana Cirenei_>, <Person id:0825952[http] name:_John Steiner_>]",['Italy'],5.6,['Italian']
