title,year,genre,director,cast,countries,rating,languages
Goodnight Mommy,2014,"['Horror', 'Mystery', 'Thriller']","[<Person id:3868633[http] name:_Severin Fiala_>, <Person id:1072411[http] name:_Veronika Franz_>]","[<Person id:5835039[http] name:_Lukas Schwarz_>, <Person id:5835038[http] name:_Elias Schwarz_>, <Person id:1218360[http] name:_Susanne Wuest_>, <Person id:3041988[http] name:_Hans Escher_>, <Person id:3868696[http] name:_Elfriede Schatz_>, <Person id:7363213[http] name:_Karl Purker_>, <Person id:7363214[http] name:_Georg Deliovsky_>, <Person id:7363215[http] name:_Christian Steindl_>, <Person id:7363216[http] name:_Christian Schatz_>, <Person id:7363217[http] name:_Erwin Schmalzbauer_>]",['Austria'],6.7,['German']
Underworld,2003,"['Action', 'Fantasy', 'Thriller']",[<Person id:0936482[http] name:_Len Wiseman_>],"[<Person id:0000295[http] name:_Kate Beckinsale_>, <Person id:0005454[http] name:_Scott Speedman_>, <Person id:0790688[http] name:_Michael Sheen_>, <Person id:0111274[http] name:_Shane Brolly_>, <Person id:0631490[http] name:_Bill Nighy_>, <Person id:0496441[http] name:_Erwin Leder_>, <Person id:0617009[http] name:_Sophia Myles_>, <Person id:0311563[http] name:_Robbie Gee_>, <Person id:0589505[http] name:_Wentworth Miller_>, <Person id:0340485[http] name:_Kevin Grevioux_>]","['United States', 'United Kingdom', 'Germany']",7.0,['English']
The Taking of Deborah Logan,2014,"['Horror', 'Mystery', 'Thriller']",[<Person id:0733263[http] name:_Adam Robitel_>],"[<Person id:0489010[http] name:_Jill Larson_>, <Person id:0708867[http] name:_Anne Ramsay_>, <Person id:0029391[http] name:_Michelle Ang_>, <Person id:1654820[http] name:_Brett Gentile_>, <Person id:1513843[http] name:_Jeremy DeCarlos_>, <Person id:0193982[http] name:_Ryan Cutrona_>, <Person id:2987522[http] name:_Tonya Bludsworth_>, <Person id:0619549[http] name:_Anne Bedian_>, <Person id:0371530[http] name:_Randell Haynes_>, <Person id:3105945[http] name:_Jeffrey Woodard_>]",['United States'],6.0,['English']
The Survivalist,2015,"['Drama', 'Sci-Fi', 'Thriller']",[<Person id:2850285[http] name:_Stephen Fingleton_>],"[<Person id:0564901[http] name:_Martin McCann_>, <Person id:5301405[http] name:_Mia Goth_>, <Person id:0288260[http] name:_Olwen Fouéré_>, <Person id:1245691[http] name:_Douglas Russell_>, <Person id:1587166[http] name:_Andrew Simpson_>, <Person id:3130001[http] name:_Ryan McParland_>, <Person id:4234659[http] name:_Hussina Raja_>, <Person id:2192867[http] name:_Ciaran Flynn_>, <Person id:7233063[http] name:_Sean Doupe_>, <Person id:7866664[http] name:_Jeremy Martin_>]",['United Kingdom'],6.4,['English']
The Host,2013,"['Action', 'Adventure', 'Drama']",[<Person id:0629272[http] name:_Andrew Niccol_>],"[<Person id:1212051[http] name:_Rachel Roberts_>, <Person id:5531542[http] name:_Shyaam Karra_>, <Person id:3384786[http] name:_Brent Wendell Williams_>, <Person id:2560461[http] name:_Jhil McEntyre_>, <Person id:5583620[http] name:_Jalen Coleman_>, <Person id:1519680[http] name:_Saoirse Ronan_>, <Person id:1208167[http] name:_Diane Kruger_>, <Person id:2728757[http] name:_Stephen Rider_>, <Person id:1272578[http] name:_Jaylen Moore_>, <Person id:4806678[http] name:_Stephen Conroy_>]","['United States', 'Switzerland', 'United Kingdom']",5.9,['English']
Koroshiya 1,2001,"['Action', 'Comedy', 'Crime']",[<Person id:0586281[http] name:_Takashi Miike_>],"[<Person id:0038355[http] name:_Tadanobu Asano_>, <Person id:1071413[http] name:_Nao Ohmori_>, <Person id:0875354[http] name:_Shin'ya Tsukamoto_>, <Person id:0837282[http] name:_Paulyn Sun_>, <Person id:0855398[http] name:_Susumu Terajima_>, <Person id:0837452[http] name:_Shun Sugata_>, <Person id:0856808[http] name:_Tôru Tezuka_>, <Person id:0034984[http] name:_Yoshiki Arizono_>, <Person id:1097739[http] name:_Kiyohiko Shibukawa_>, <Person id:0974515[http] name:_Satoshi Niizuma_>]",['Japan'],7.0,"['Japanese', 'Cantonese', 'English']"
Barton Fink,1991,"['Comedy', 'Drama', 'Thriller']","[<Person id:0001054[http] name:_Joel Coen_>, <Person id:0001053[http] name:_Ethan Coen_>]","[<Person id:0001806[http] name:_John Turturro_>, <Person id:0000422[http] name:_John Goodman_>, <Person id:0001114[http] name:_Judy Davis_>, <Person id:0503627[http] name:_Michael Lerner_>, <Person id:0001498[http] name:_John Mahoney_>, <Person id:0001724[http] name:_Tony Shalhoub_>, <Person id:0689237[http] name:_Jon Polito_>, <Person id:0000114[http] name:_Steve Buscemi_>, <Person id:0913099[http] name:_David Warrilow_>, <Person id:0692466[http] name:_Richard Portnow_>]","['United States', 'United Kingdom']",7.7,['English']
The Killing Joke,2016,"['Short', 'Crime', 'Drama']",[<Person id:9080619[http] name:_Max Hauser_>],"[<Person id:9080619[http] name:_Max Hauser_>, <Person id:9080620[http] name:_Lee Hauser_>, <Person id:9080621[http] name:_Andrew Suber_>, <Person id:9080622[http] name:_Jessica Thompson_>, <Person id:9080623[http] name:_Rem Turnbloom_>, <Person id:9060711[http] name:_Ronan Doss_>, <Person id:9060713[http] name:_Derek Alonso_>]",['United States'],4.7,['English']
The Crazies,2010,"['Adventure', 'Family', 'Fantasy']",[<Person id:0252135[http] name:_Breck Eisner_>],"[<Person id:0648249[http] name:_Timothy Olyphant_>, <Person id:0593664[http] name:_Radha Mitchell_>, <Person id:1725848[http] name:_Joe Anderson_>, <Person id:1263939[http] name:_Danielle Panabaker_>, <Person id:0807700[http] name:_Christie Lynn Smith_>, <Person id:0725434[http] name:_Brett Rickaby_>, <Person id:2259079[http] name:_Preston Bailey_>, <Person id:0043891[http] name:_John Aylward_>, <Person id:1235449[http] name:_Joe Reegan_>, <Person id:0607703[http] name:_Glenn Morshower_>]","['United States', 'United Arab Emirates']",6.5,['English']
The Lighthouse,2019,"['Drama', 'Fantasy', 'Horror']",[<Person id:3211470[http] name:_Robert Eggers_>],"[<Person id:1500155[http] name:_Robert Pattinson_>, <Person id:0000353[http] name:_Willem Dafoe_>, <Person id:10840078[http] name:_Valeriia Karaman_>, <Person id:11125041[http] name:_Logan Hawkes_>, <Person id:5777181[http] name:_Kyla Nicolle_>, <Person id:0164996[http] name:_Shaun Clarke_>, <Person id:2652673[http] name:_Pierre Richard_>, <Person id:1860965[http] name:_Preston Hudson_>, <Person id:2496005[http] name:_Jeffrey Cruts_>, <Person id:8257932[http] name:_Sully Seagull_>]","['Canada', 'United States', 'Brazil']",7.5,['English']
